feature,gain_importance,feature_group
X356,0.0,anonymous_x
X357,0.0,anonymous_x
X358,0.0,anonymous_x
X359,0.0,anonymous_x
X360,0.0,anonymous_x
X361,0.0,anonymous_x
X362,0.0,anonymous_x
X363,0.0,anonymous_x
X364,0.0,anonymous_x
X392,0.0,anonymous_x
X393,0.0,anonymous_x
X394,0.0,anonymous_x
X395,0.0,anonymous_x
X396,0.0,anonymous_x
X397,0.0,anonymous_x
X398,0.0,anonymous_x
X399,0.0,anonymous_x
X400,0.0,anonymous_x
X401,0.0,anonymous_x
X402,0.0,anonymous_x
X274,0.0,anonymous_x
X275,0.0,anonymous_x
X244,0.0,anonymous_x
X245,0.0,anonymous_x
X301,0.0,anonymous_x
X304,0.0,anonymous_x
X305,0.0,anonymous_x
X306,0.0,anonymous_x
X307,0.0,anonymous_x
X276,0.0,anonymous_x
X408,0.0,anonymous_x
X409,0.0,anonymous_x
X414,0.0,anonymous_x
X417,0.0,anonymous_x
X388,0.0,anonymous_x
X389,0.0,anonymous_x
X390,0.0,anonymous_x
X391,0.0,anonymous_x
X56,0.0,anonymous_x
X57,0.0,anonymous_x
X58,0.0,anonymous_x
X59,0.0,anonymous_x
X429,0.0,anonymous_x
X430,0.0,anonymous_x
X431,0.0,anonymous_x
X433,0.0,anonymous_x
X434,0.0,anonymous_x
X114,0.0,anonymous_x
X115,0.0,anonymous_x
X260,0.0,anonymous_x
X261,0.0,anonymous_x
X262,0.0,anonymous_x
X263,0.0,anonymous_x
X265,0.0,anonymous_x
X266,0.0,anonymous_x
X267,0.0,anonymous_x
X268,0.0,anonymous_x
X273,0.0,anonymous_x
X404,0.0,anonymous_x
X405,0.0,anonymous_x
X406,0.0,anonymous_x
X423,0.0,anonymous_x
X77,0.0,anonymous_x
X78,0.0,anonymous_x
X81,0.0,anonymous_x
X83,0.0,anonymous_x
X53,0.0,anonymous_x
X54,0.0,anonymous_x
X467,0.0,anonymous_x
X436,0.0,anonymous_x
X437,0.0,anonymous_x
X439,0.0,anonymous_x
X440,0.0,anonymous_x
X441,0.0,anonymous_x
X446,0.0,anonymous_x
X447,0.0,anonymous_x
X448,0.0,anonymous_x
X449,0.0,anonymous_x
X478,0.0,anonymous_x
X480,0.0,anonymous_x
X481,0.0,anonymous_x
X482,0.0,anonymous_x
X483,0.0,anonymous_x
X453,0.0,anonymous_x
X454,0.0,anonymous_x
X455,0.0,anonymous_x
X259,0.0,anonymous_x
X228,0.0,anonymous_x
X229,0.0,anonymous_x
X230,0.0,anonymous_x
X246,0.0,anonymous_x
X248,0.0,anonymous_x
X249,0.0,anonymous_x
X250,0.0,anonymous_x
X251,0.0,anonymous_x
X108,0.0,anonymous_x
X109,0.0,anonymous_x
X110,0.0,anonymous_x
X111,0.0,anonymous_x
X112,0.0,anonymous_x
X113,0.0,anonymous_x
X460,0.0,anonymous_x
X461,0.0,anonymous_x
X494,0.0,anonymous_x
X495,0.0,anonymous_x
X496,0.0,anonymous_x
X497,0.0,anonymous_x
X498,0.0,anonymous_x
X468,0.0,anonymous_x
X469,0.0,anonymous_x
X470,0.0,anonymous_x
X473,0.0,anonymous_x
X474,0.0,anonymous_x
X476,0.0,anonymous_x
X477,0.0,anonymous_x
X510,0.0,anonymous_x
X511,0.0,anonymous_x
X512,0.0,anonymous_x
X513,0.0,anonymous_x
X514,0.0,anonymous_x
X515,0.0,anonymous_x
X484,0.0,anonymous_x
X485,0.0,anonymous_x
X486,0.0,anonymous_x
X487,0.0,anonymous_x
X488,0.0,anonymous_x
X489,0.0,anonymous_x
X490,0.0,anonymous_x
X491,0.0,anonymous_x
X492,0.0,anonymous_x
X493,0.0,anonymous_x
X526,0.0,anonymous_x
X527,0.0,anonymous_x
X528,0.0,anonymous_x
X529,0.0,anonymous_x
X531,0.0,anonymous_x
X502,0.0,anonymous_x
X503,0.0,anonymous_x
X504,0.0,anonymous_x
X509,0.0,anonymous_x
X542,0.0,anonymous_x
X543,0.0,anonymous_x
X544,0.0,anonymous_x
X545,0.0,anonymous_x
X516,0.0,anonymous_x
X517,0.0,anonymous_x
X518,0.0,anonymous_x
X519,0.0,anonymous_x
X520,0.0,anonymous_x
X521,0.0,anonymous_x
X243,0.0,anonymous_x
X212,0.0,anonymous_x
X213,0.0,anonymous_x
X214,0.0,anonymous_x
X87,0.0,anonymous_x
X252,0.0,anonymous_x
X253,0.0,anonymous_x
X254,0.0,anonymous_x
X255,0.0,anonymous_x
X256,0.0,anonymous_x
X257,0.0,anonymous_x
X258,0.0,anonymous_x
X522,0.0,anonymous_x
X523,0.0,anonymous_x
X524,0.0,anonymous_x
X525,0.0,anonymous_x
volume_per_book_qty,0.0,derived_market
X532,0.0,anonymous_x
X533,0.0,anonymous_x
X534,0.0,anonymous_x
X535,0.0,anonymous_x
X536,0.0,anonymous_x
X537,0.0,anonymous_x
X227,0.0,anonymous_x
X196,0.0,anonymous_x
X199,0.0,anonymous_x
X231,0.0,anonymous_x
X232,0.0,anonymous_x
X234,0.0,anonymous_x
X235,0.0,anonymous_x
X236,0.0,anonymous_x
X237,0.0,anonymous_x
X238,0.0,anonymous_x
X239,0.0,anonymous_x
X240,0.0,anonymous_x
X241,0.0,anonymous_x
X242,0.0,anonymous_x
X539,0.0,anonymous_x
X540,0.0,anonymous_x
X549,0.0,anonymous_x
X551,0.0,anonymous_x
volume_per_trade_qty,0.0,derived_market
X184,0.0,anonymous_x
X215,0.0,anonymous_x
X216,0.0,anonymous_x
X220,0.0,anonymous_x
X221,0.0,anonymous_x
X222,0.0,anonymous_x
X223,0.0,anonymous_x
X224,0.0,anonymous_x
X225,0.0,anonymous_x
X554,0.0,anonymous_x
X593,0.0,anonymous_x
X594,0.0,anonymous_x
X595,0.0,anonymous_x
X568,0.0,anonymous_x
X60,0.0,anonymous_x
X61,0.0,anonymous_x
X62,0.0,anonymous_x
X63,0.0,anonymous_x
X64,0.0,anonymous_x
X65,0.0,anonymous_x
X66,0.0,anonymous_x
X165,0.0,anonymous_x
X200,0.0,anonymous_x
X201,0.0,anonymous_x
X202,0.0,anonymous_x
X203,0.0,anonymous_x
X204,0.0,anonymous_x
X206,0.0,anonymous_x
X207,0.0,anonymous_x
X208,0.0,anonymous_x
X209,0.0,anonymous_x
X210,0.0,anonymous_x
X211,0.0,anonymous_x
X67,0.0,anonymous_x
X622,0.0,anonymous_x
X626,0.0,anonymous_x
X596,0.0,anonymous_x
X597,0.0,anonymous_x
X598,0.0,anonymous_x
X599,0.0,anonymous_x
X601,0.0,anonymous_x
X603,0.0,anonymous_x
X635,0.0,anonymous_x
X636,0.0,anonymous_x
X637,0.0,anonymous_x
X749,0.0,anonymous_x
X639,0.0,anonymous_x
X640,0.0,anonymous_x
X641,0.0,anonymous_x
X615,0.0,anonymous_x
X616,0.0,anonymous_x
X617,0.0,anonymous_x
X151,0.0,anonymous_x
X152,0.0,anonymous_x
X153,0.0,anonymous_x
X154,0.0,anonymous_x
X186,0.0,anonymous_x
X187,0.0,anonymous_x
X188,0.0,anonymous_x
X189,0.0,anonymous_x
X192,0.0,anonymous_x
X193,0.0,anonymous_x
X194,0.0,anonymous_x
X195,0.0,anonymous_x
X176,0.0,anonymous_x
X148,0.0,anonymous_x
X149,0.0,anonymous_x
X150,0.0,anonymous_x
X618,0.0,anonymous_x
X619,0.0,anonymous_x
X620,0.0,anonymous_x
X621,0.0,anonymous_x
X26,0.0,anonymous_x
X658,0.0,anonymous_x
X659,0.0,anonymous_x
X628,0.0,anonymous_x
X630,0.0,anonymous_x
X631,0.0,anonymous_x
X632,0.0,anonymous_x
X633,0.0,anonymous_x
X634,0.0,anonymous_x
X648,0.0,anonymous_x
X649,0.0,anonymous_x
X354,0.0,anonymous_x
X45,0.0,anonymous_x
X47,0.0,anonymous_x
X48,0.0,anonymous_x
X155,0.0,anonymous_x
X156,0.0,anonymous_x
X157,0.0,anonymous_x
X158,0.0,anonymous_x
X159,0.0,anonymous_x
X160,0.0,anonymous_x
X162,0.0,anonymous_x
X134,0.0,anonymous_x
X135,0.0,anonymous_x
X1,0.0,anonymous_x
X660,0.0,anonymous_x
X661,0.0,anonymous_x
X662,0.0,anonymous_x
X663,0.0,anonymous_x
X664,0.0,anonymous_x
X665,0.0,anonymous_x
X666,0.0,anonymous_x
X667,0.0,anonymous_x
X668,0.0,anonymous_x
X669,0.0,anonymous_x
X672,0.0,anonymous_x
X673,0.0,anonymous_x
X733,0.0,anonymous_x
X645,0.0,anonymous_x
X705,0.0,anonymous_x
ask_qty,0.0,public_market
X681,0.0,anonymous_x
X682,0.0,anonymous_x
X770,0.0,anonymous_x
X686,0.0,anonymous_x
X687,0.0,anonymous_x
X688,0.0,anonymous_x
X689,0.0,anonymous_x
X690,0.0,anonymous_x
X691,0.0,anonymous_x
X721,0.0,anonymous_x
X722,0.0,anonymous_x
X723,0.0,anonymous_x
X692,0.0,anonymous_x
X693,0.0,anonymous_x
X694,0.0,anonymous_x
X695,0.0,anonymous_x
X696,0.0,anonymous_x
X697,0.0,anonymous_x
X698,0.0,anonymous_x
X700,0.0,anonymous_x
X105,0.0,anonymous_x
X106,0.0,anonymous_x
X107,0.0,anonymous_x
X12,0.0,anonymous_x
