feature,coefficient,abs_coefficient,is_nonzero
X268,0.06775521,0.06775521,True
X549,-0.06769012,0.06769012,True
X383,-0.06768807,0.06768807,True
X175,-0.06758383,0.06758383,True
X23,0.06752797,0.06752797,True
X568,0.06717503,0.06717503,True
X750,0.06708202,0.06708202,True
X491,-0.06651454,0.06651454,True
X306,0.06617299,0.06617299,True
X525,0.06616904,0.06616904,True
X406,-0.066168845,0.066168845,True
X690,0.06604495,0.06604495,True
X680,-0.06556029,0.06556029,True
X172,0.06521023,0.06521023,True
X49,0.06512929,0.06512929,True
X710,0.064840816,0.064840816,True
X98,0.06476005,0.06476005,True
X139,0.06462516,0.06462516,True
X357,-0.063811,0.063811,True
X572,0.06360553,0.06360553,True
X718,0.06355509,0.06355509,True
X235,0.063332945,0.063332945,True
X616,-0.06327957,0.06327957,True
X52,0.06325067,0.06325067,True
X444,0.062898986,0.062898986,True
X757,-0.062863775,0.062863775,True
X24,0.06236883,0.06236883,True
X636,0.062243603,0.062243603,True
X412,-0.062189363,0.062189363,True
X722,0.06161185,0.06161185,True
X399,0.061070666,0.061070666,True
X711,-0.060749732,0.060749732,True
X442,0.06063868,0.06063868,True
X728,-0.06046116,0.06046116,True
X35,-0.06019627,0.06019627,True
X719,0.06008335,0.06008335,True
X760,-0.05942796,0.05942796,True
X42,-0.059403297,0.059403297,True
X253,0.059396617,0.059396617,True
X751,-0.059326492,0.059326492,True
X133,0.059147287,0.059147287,True
X621,0.05912491,0.05912491,True
X507,0.05851895,0.05851895,True
X587,-0.058438756,0.058438756,True
X174,-0.05829007,0.05829007,True
X19,0.05812462,0.05812462,True
X454,-0.05752426,0.05752426,True
X179,0.057005983,0.057005983,True
X749,0.056955267,0.056955267,True
X176,0.05645272,0.05645272,True
X262,0.056307834,0.056307834,True
X100,-0.056249954,0.056249954,True
X456,-0.055834245,0.055834245,True
X590,-0.05580029,0.05580029,True
X151,0.055535596,0.055535596,True
X293,-0.055471558,0.055471558,True
X225,-0.055357583,0.055357583,True
X141,-0.055341534,0.055341534,True
X263,0.0551277,0.0551277,True
X53,-0.05473668,0.05473668,True
X391,0.054428294,0.054428294,True
X345,0.054293238,0.054293238,True
X210,0.054079913,0.054079913,True
X330,-0.053926084,0.053926084,True
X245,0.05381797,0.05381797,True
X423,0.0536393,0.0536393,True
X228,0.05363459,0.05363459,True
X348,-0.053066146,0.053066146,True
X269,-0.05269864,0.05269864,True
X51,-0.05269544,0.05269544,True
X308,-0.05236832,0.05236832,True
X684,-0.052221105,0.052221105,True
X144,0.052203257,0.052203257,True
X239,-0.052096102,0.052096102,True
X74,-0.052071624,0.052071624,True
X338,0.052064944,0.052064944,True
X298,-0.0520086,0.0520086,True
X530,0.05188104,0.05188104,True
X594,0.05178229,0.05178229,True
X389,-0.05137116,0.05137116,True
X194,0.05135628,0.05135628,True
X58,0.051352657,0.051352657,True
X696,0.051346026,0.051346026,True
X152,-0.051168308,0.051168308,True
X611,0.050855815,0.050855815,True
X334,-0.050441675,0.050441675,True
X433,-0.049743373,0.049743373,True
X477,-0.04973159,0.04973159,True
X623,0.049547553,0.049547553,True
X529,-0.049498178,0.049498178,True
X712,0.04932411,0.04932411,True
X387,0.048450872,0.048450872,True
X411,0.04828822,0.04828822,True
X551,0.04794978,0.04794978,True
X588,0.047875676,0.047875676,True
X333,-0.04785363,0.04785363,True
X315,0.04769353,0.04769353,True
X339,0.047568623,0.047568623,True
X54,0.04756555,0.04756555,True
X654,0.04746466,0.04746466,True
X569,-0.047163006,0.047163006,True
X714,-0.04715584,0.04715584,True
X523,0.04693934,0.04693934,True
X553,0.04693481,0.04693481,True
X607,0.04641316,0.04641316,True
X469,0.046279203,0.046279203,True
X136,0.046077244,0.046077244,True
X513,-0.045418974,0.045418974,True
X624,-0.04519691,0.04519691,True
X346,-0.045026615,0.045026615,True
X197,0.044867005,0.044867005,True
X107,-0.044698883,0.044698883,True
X169,-0.043964338,0.043964338,True
X434,0.043771055,0.043771055,True
X198,0.043175027,0.043175027,True
X424,-0.043108273,0.043108273,True
X604,-0.04277337,0.04277337,True
X147,-0.042572416,0.042572416,True
X325,-0.0423554,0.0423554,True
X473,-0.04165055,0.04165055,True
X429,0.041407082,0.041407082,True
X629,0.041373216,0.041373216,True
X716,-0.041344076,0.041344076,True
X430,0.04133727,0.04133727,True
X234,0.041304264,0.041304264,True
X582,-0.040790457,0.040790457,True
X256,0.040645517,0.040645517,True
X148,-0.04061637,0.04061637,True
X708,0.04055417,0.04055417,True
X219,-0.039732553,0.039732553,True
X746,0.039618805,0.039618805,True
X265,0.03957217,0.03957217,True
X62,-0.039491046,0.039491046,True
X556,-0.039284013,0.039284013,True
X505,-0.039172404,0.039172404,True
X425,0.038745318,0.038745318,True
X382,0.038605854,0.038605854,True
X535,-0.038546685,0.038546685,True
X184,-0.03850292,0.03850292,True
X102,-0.038433563,0.038433563,True
X123,-0.03833376,0.03833376,True
X41,0.038035672,0.038035672,True
X231,0.037876643,0.037876643,True
X613,0.03782132,0.03782132,True
X56,0.037793193,0.037793193,True
X603,0.037671603,0.037671603,True
X471,0.03721037,0.03721037,True
X33,0.037199758,0.037199758,True
X631,0.03717807,0.03717807,True
X514,0.03672479,0.03672479,True
X578,0.036392346,0.036392346,True
X248,0.035986193,0.035986193,True
X520,-0.03495907,0.03495907,True
X354,-0.03489602,0.03489602,True
X515,-0.034708764,0.034708764,True
X421,0.03457157,0.03457157,True
X246,-0.034512486,0.034512486,True
X700,0.034376163,0.034376163,True
X146,-0.034076486,0.034076486,True
X313,-0.033799633,0.033799633,True
X512,-0.033394832,0.033394832,True
X273,0.033343922,0.033343922,True
X130,-0.03334304,0.03334304,True
X135,0.033288244,0.033288244,True
X681,0.03314269,0.03314269,True
X95,-0.0331277,0.0331277,True
X508,0.032691333,0.032691333,True
X166,-0.03262464,0.03262464,True
X472,-0.03219305,0.03219305,True
X488,-0.03213829,0.03213829,True
X500,-0.032069728,0.032069728,True
X238,0.032023594,0.032023594,True
X741,-0.031998325,0.031998325,True
X482,-0.03193901,0.03193901,True
X617,0.031911194,0.031911194,True
X204,0.03169648,0.03169648,True
X765,-0.031523105,0.031523105,True
X81,-0.030984934,0.030984934,True
X160,0.030837974,0.030837974,True
X233,-0.030714907,0.030714907,True
X303,0.029967602,0.029967602,True
X252,0.029750906,0.029750906,True
X251,0.029742928,0.029742928,True
X437,0.029675674,0.029675674,True
X340,0.029669011,0.029669011,True
X675,0.02964696,0.02964696,True
X121,0.029409306,0.029409306,True
X682,-0.029028222,0.029028222,True
X86,0.02872893,0.02872893,True
X466,-0.028402407,0.028402407,True
X436,-0.028306305,0.028306305,True
X254,0.027737916,0.027737916,True
X302,-0.027669217,0.027669217,True
X738,-0.027663203,0.027663203,True
X167,0.027520737,0.027520737,True
X316,0.02747707,0.02747707,True
X186,-0.0270931,0.0270931,True
X343,0.027058426,0.027058426,True
X496,0.026712786,0.026712786,True
X300,-0.026277658,0.026277658,True
buy_qty,-0.02586231,0.02586231,True
X181,-0.025764452,0.025764452,True
X679,0.025675053,0.025675053,True
X331,-0.025639134,0.025639134,True
X761,-0.025561726,0.025561726,True
X532,0.025529705,0.025529705,True
X299,0.025241626,0.025241626,True
X404,-0.025187341,0.025187341,True
X452,0.025181845,0.025181845,True
X285,-0.024725104,0.024725104,True
X286,0.02455294,0.02455294,True
X223,-0.024490155,0.024490155,True
X495,0.024432944,0.024432944,True
