w_lgbm,w_catboost,w_xgboost,weight_sum,overall_pearson,overall_rmse,overall_mae,extreme_pearson,extreme_rmse,extreme_mae
0.55,0.45,0.0,1.0,0.10591115033645299,1.0376546157546536,0.6968588173753203,0.2824672884270357,3.3721678450679793,3.1522833752228148
0.45,0.3,0.25,1.0,0.10615028692822802,1.037628395021877,0.6968522366929119,0.2854309379933869,3.3722169428065016,3.1521503585068995
0.3,0.05,0.65,1.0,0.10418887142373863,1.0377152139613817,0.6969882949564876,0.28400665352193527,3.3722381894613034,3.1518664342718856
0.35,0.15,0.5,1.0,0.10523512449299824,1.0376593949172912,0.6969095536520654,0.28559696605470464,3.3722911931728823,3.152017341790984
0.5,0.4,0.1,1.0,0.10626692621172412,1.0376332277153681,0.6968387046532202,0.2844132396043528,3.3722959715176986,3.152301266025999
0.4,0.25,0.35,1.0,0.106005612109948,1.037627884715415,0.6968552123033258,0.28629432520700115,3.372354635273466,3.1521682493100833
0.25,0.0,0.75,1.0,0.10341081649359206,1.0377476103129635,0.697025863743312,0.2830924481970337,3.3723905945057564,3.15188432507507
0.45,0.35,0.2,1.0,0.10641772501432913,1.0376206855703671,0.6968271724612147,0.2859722102861808,3.3724285151739526,3.1523191568291833
0.3,0.1,0.6,1.0,0.10465273803672255,1.0376797618555855,0.6969349311147282,0.2853149704252267,3.372438450253127,3.152035232594168
0.35,0.2,0.45,1.0,0.10566210771025326,1.0376362206114083,0.6968674895672476,0.28669819372627325,3.37249674410361,3.1521861401132676
0.5,0.45,0.05,1.0,0.10638283251937147,1.0376377979881592,0.6968250946050546,0.284523502649578,3.372512832188377,3.1524700643482815
0.4,0.3,0.3,1.0,0.10635697922003466,1.0376169896404237,0.6968260510925987,0.28709757699833044,3.3725654755159464,3.1523370476323667
0.25,0.05,0.7,1.0,0.1038948821053605,1.0377089739766348,0.6969690859626111,0.2845418848079851,3.372590122766159,3.1520531233973523
0.3,0.15,0.55,1.0,0.10512194350122703,1.0376534024966615,0.6968890317648996,0.28660902786470516,3.372643268738674,3.152204030916451
0.45,0.4,0.15,1.0,0.10664556117569927,1.0376220702943086,0.6968106082187513,0.2863820626894875,3.3726446438520123,3.1524879551514653
0.35,0.25,0.4,1.0,0.10608179145553676,1.037622140020066,0.6968342723913787,0.2877451937021046,3.372706852005615,3.15235493843555
0.5,0.5,0.0,1.0,0.10643125992799045,1.0376514622159525,0.6968205587637071,0.28444612400222824,3.372734248376849,3.152638862670565
0.2,0.0,0.8,1.0,0.10296992987237855,1.0377470305334755,0.6970104856800877,0.283261785691583,3.372746210116293,3.152071014200536
0.4,0.35,0.25,1.0,0.10668230620021843,1.0376151887440783,0.6968056590383196,0.28779722362126836,3.3727808719766967,3.1525058459546496
0.25,0.1,0.65,1.0,0.10439055804036494,1.037679429931759,0.6969194856787143,0.28599910438182746,3.3727942086031484,3.1522219217196352
0.3,0.2,0.5,1.0,0.10559311645788043,1.0376361365775666,0.6968515240086416,0.2878751304743947,3.372852644087638,3.1523728292387343
0.45,0.45,0.1,1.0,0.1068217552648484,1.0376325491572929,0.6968027356826969,0.2866311433980594,3.3728653279647935,3.1526567534737477
0.35,0.3,0.35,0.9999999999999999,0.10648792676025902,1.0376171535134728,0.6968103017970506,0.2887176916140954,3.372921516027303,3.1525237367578325
0.2,0.05,0.75,1.0,0.10347644229941105,1.0377143022511217,0.6969581633465933,0.28484786452313476,3.3729495631042883,3.1522398125228186
0.4,0.4,0.2,1.0,0.10697148993696275,1.0376224820737308,0.696793489774197,0.2883658621167959,3.3730008237828493,3.152674644276932
0.25,0.15,0.6,1.0,0.1048957534878382,1.0376589789549582,0.6968776583149947,0.28745346391596904,3.373002851189446,3.152390720041918
0.3,0.25,0.45,1.0,0.10606171133799627,1.0376279645522402,0.6968234813135304,0.28909610565780125,3.37306657545145,3.1525416275610163
0.45,0.5,0.05,1.0,0.10693150865029612,1.0376521218838046,0.6968037879255413,0.2866851261265233,3.3730905666181803,3.1528255517960306
0.15,0.0,0.85,1.0,0.10239079197836645,1.0377580185630921,0.697004740736387,0.28314307529862376,3.3731093316321212,3.152257703326003
0.35,0.35,0.3,1.0,0.10687244518320907,1.0376212612227391,0.6967944096894757,0.28959096292675024,3.3731407352988287,3.152692535080116
